Document_ID,Source,Publication_Year,Page_Number,Chunk_ID,Language,Chunk_Text
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,2,Nigeria_MPCDSR_2022.pdf_2_1,English,"FOREWORD 
Reporting and tracking maternal, perinatal and child deaths and  government initiatives to 
reduce preventable deaths remain a major challenge in Nigeria. The first 28 days of life – 
the neonatal period is a critical period for survival of the child. Every day in Nigeria, over 
700 babies die, the highest number of new-born deaths in Africa, and second highest in the 
world. Over 40,000 Nigerian women die each year during child birth. For every maternal 
death, at least seven newborn die and a further four babies are stillborn. Nigeria was unable 
to meet MDG 4 & 5 goals and going by the 2018 NDHS report, current maternal mortality 
ratio  of  512/100,000  live  births  is  still  far  from  SDG  3  target  of  70/100,000  live  births.  
Under-5 mortality rate is also high at 132 per 1000 live births. 
 
It  is  commonly  accepted  that  the  causes  of  maternal,  neonatal,  infants  and  under-five 
mortality are preventable through systematic public health education and strengthening of 
the health system blocks, which deal with the three delays: delay in seeking care, delay in 
access to health care and delay in receiving quality care. Achieving the latter is"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,2,Nigeria_MPCDSR_2022.pdf_2_2,English,"n and strengthening of 
the health system blocks, which deal with the three delays: delay in seeking care, delay in 
access to health care and delay in receiving quality care. Achieving the latter is pivoted 
in  maternal,  newborn  and  child  death  audits  and  response  to  recommendations  from  the 
audits. 
In  view  of  this,  the  Federal  Ministry  of  Health,  in  collaboration  with  the  professional 
Associations (Society of Obstetrics and Gynaecology of Nigeria (SOGON), the Paediatric 
Association  of  Nigeria  (PAN),  and  Nigerian  Society  of  Neonatal  Medicine  (NISONM)), 
Development  Partners  and  other  stakeholders  in  reproductive,  maternal  and  child  health, 
provided  technical  support  for  the  review  of  this  guideline  and  tools  to  routinely  track 
maternal,  perinatal  and  child  deaths  in  Nigeria.  Effective  conduct  of  these  audits  will 
identify capacity gaps, which, when addressed, should improve the knowledge and skills of 
health  care  providers  in  providing  quality  maternal,  newborn  and  child  care  during  birth 
and in childhood. The  guideline and tools provide direction and instructions required for 
the establis"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,2,Nigeria_MPCDSR_2022.pdf_2_3,English,"care  providers  in  providing  quality  maternal,  newborn  and  child  care  during  birth 
and in childhood. The  guideline and tools provide direction and instructions required for 
the establishment of Maternal, Perinatal and Child Death Surveillance Response in Nigeria. 
Prompt response to the recommendations made from the audits will improve quality of care 
and reduce maternal, newborn and child deaths significantly in Nigeria. The success of the 
MPDSR and the need to improve the quality of child health services along the continuum 
of care by incorporating child Death Audit into MPDSR for better outcomes, informed the 
need for this review. 
 
I recommend this document to all stakeholders: Health Institutions at all levels, 
Government Agencies, Development Partners, Non-Governmental Organisations, Private 
and Faith-based Health Institutions. 
 
I hope it will be put to practical use throughout the country. 
 
 
 
Dr Osagie Ehanire. MD, FWACS 
Hon. Minister of Health, Federal Republic of Nigeria"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,2,Nigeria_MPCDSR_2022.pdf_2_4,English,ral Republic of Nigeria
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,3,Nigeria_MPCDSR_2022.pdf_3_1,English,"ACKNOWLEDGEMENT 
The Federal Ministry of Health, in collaboration with Development Partners, has developed the 
National guidelines for the conduct of  Maternal, Perinatal and Child Death Surveillance and 
Response (MPCDSR) in Nigeria as recommended by World Health Organization in 2004. The 
Review  of  this  document  is  a  major  breakthrough  for  reduction  of  preventable  maternal, 
newborn and child deaths in Nigeria. The Ministry would like to extend its sincere thanks and 
gratitude to organizations and persons who contributed considerable time and effort in ensuring 
the  review  of  this  National  guideline  to  include  Child  death  audit.  Special  thanks  go  to  the 
Society  for  Obstetrics  and  Gynaecologists  of  Nigeria  (SOGON),  Paediatric  Association  of 
Nigeria  (PAN)  and  Nigeria  Society  of  Neonatal  Medicine  (NISONM)  for  their  hard  work, 
technical input and leading the process for the institutionalization of Maternal, Perinatal  and 
Child Death Surveillance and Response in Nigeria. The unprecedented success of the 
development  and  review  process  was  made  possible  by  the  contributions  from  a  number  of 
individuals and"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,3,Nigeria_MPCDSR_2022.pdf_3_2,English,"hild Death Surveillance and Response in Nigeria. The unprecedented success of the 
development  and  review  process  was  made  possible  by  the  contributions  from  a  number  of 
individuals and organisations. I wish to acknowledge the National MPCDSR Desk Officer, Dr 
Samuel Oyeniyi, Deputy Director directly supervised by me and his team, technical expertise 
of the Lead Consultant, Prof. Oladapo Shittu and his team, members of the National 
Reproductive  Health  Technical  Working  Group  and  Child  Health  Technical  Working  Group 
under the leadership of Prof A.O Otolorin and Prof R.D Wammanda respectively.  
We also want to appreciate the following organizations: National Primary Health Care 
Development  Agency  (NPHCDA),  Nigeria  Centre  for  Disease  Control  (NCDC)  and  our 
development partners namely World Health Organisation(WHO), United Nations Population 
Fund (UNFPA), United Nations Children Fund (UNICEF), United States Agency for 
International  Development  (USAID),  Rotary  Action  Group  for  Reproductive,  Maternal  and 
Child Health, Evidence for Action, Partnership for Transforming Health System 
(PATHS2/DFID) Action Network in Nigeria, Jhpiego, Engen"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,3,Nigeria_MPCDSR_2022.pdf_3_3,English,"SAID),  Rotary  Action  Group  for  Reproductive,  Maternal  and 
Child Health, Evidence for Action, Partnership for Transforming Health System 
(PATHS2/DFID) Action Network in Nigeria, Jhpiego, EngenderHealth , Save the Children , 
Safe  Motherhood  branch  of  the  Reproductive  Health  Division  ,  Newborn  branch,    Child 
Health  Division  of  Department  and  Coordination  Unit  of  Department  of    Family  Health, 
Federal 
Ministry 
of 
Health. 
My appreciation goes to all other partners for their technical inputs during the process for the 
review of this National guideline for the conduct of MPCDSR in Nigeria. 
My gratitude also goes to the leadership of MPCDSR team, Dr. Oyeniyi Samuel. O, Deputy 
Director, Head Safe motherhood & Planning Monitoring and Evaluation & National MPCDSR 
Desk officer RHD and other staff of the Department of Family Health for their commitment and 
concerted efforts in ensuring that this Policy document becomes a reality. 
 
Dr.  Salma Ibrahim Anas 
Director of Family Health 
July, 2022"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,3,Nigeria_MPCDSR_2022.pdf_3_4,English,"s 
Director of Family Health 
July, 2022"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,4,Nigeria_MPCDSR_2022.pdf_4_1,English,"Contents 
FOREWORD ...................................................................................................................................
1. 
ACKNOWLEDGEMENT ............................................................................................................
1. 
LIST OF CONTRIBUTORS........................................................................................................ 
2. 
ACRONYMS AND ABBREVIATIONS ..................................................................................... 8 
3. 
DEFINITION OF TERMS ......................................................................................................... 1
4. 
INTRODUCTION ......................................................................................................................
5. 
GOAL, OBJECTIVES AND TARGET AUDIENCE .............................................................. 21 
6. 
FRAMEWORK FOR MPCDSR IN NIGERIA ....................................................................... 24 
7. 
NATIONAL LEVEL MPCDSR ................................................................................................ 40
8. 
STATE LEVEL MPCDSR ............................."
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,4,Nigeria_MPCDSR_2022.pdf_4_2,English,"................. 24 
7. 
NATIONAL LEVEL MPCDSR ................................................................................................ 40
8. 
STATE LEVEL MPCDSR ......................................................................................................... 4
9. 
FACILITY LEVEL MPCDSR .................................................................................................. 50
10. 
PRIMARY HEALTHCARE LEVEL MPCDSR ................................................................. 54 
11. 
PROMOTION OF MPCDSR REPORTING IN NIGERIA ............................................... 63 
12. 
DEATH CERTIFICATION AND ICD-11 CODING .......................................................... 65 
13. 
SURVEILLANCE IN MPCDSR ........................................................................................... 68 
14. 
IDSR SURVEILLANCE GOAL FOR MATERNAL, PERINATAL & CHILD DEATH
 
69 
15. 
RESPONDING TO THE MODIFIABLE FACTORS IN MPCDSR ................................. 72 
16. 
MONITORING AND EVALUATION, AND RESEARCH ................................................ 73 
17. 
LEGISLATION ON MPCDSR........................................................................"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,4,Nigeria_MPCDSR_2022.pdf_4_3,English,"72 
16. 
MONITORING AND EVALUATION, AND RESEARCH ................................................ 73 
17. 
LEGISLATION ON MPCDSR.............................................................................................. 76
18. 
INTEGRATION, SUSTAINABILITY AND CAPACITY BUILDING ............................. 78 
19. 
CAPACITY BUILDING ........................................................................................................ 7
20. 
MPCDSR TOOLS ...................................................................................................................
21. 
APPENDICES ....................................................................................................................... 
21.1. 
Appendix 1. Identification Number Coding Instruction ................................................. 138 
21.2. 
Appendix 2. Grid Analysis of Maternal, Perinatal and Child Deaths in Health Facilities 
MPCDSR Committees .................................................................................................................... 
21.3. 
Appendix 3. Consent Form for Verbal Autopsy Interview ............................................. 141 
21.4. 
Appendix 4. Grid An"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,4,Nigeria_MPCDSR_2022.pdf_4_4,English,"............................................................ 
21.3. 
Appendix 3. Consent Form for Verbal Autopsy Interview ............................................. 141 
21.4. 
Appendix 4. Grid Analysis Guide for Maternal, Perinatal and Child Death Review for 
Community MPCDSR Committee.................................................................................................. 142"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,5,Nigeria_MPCDSR_2022.pdf_5_1,English,"1. LIST OF CONTRIBUTORS 
  
Federal Ministry of Health 
  
1. Dr Salma Ibrahim Anas (Director/ Family Health Department) 
2. Mrs Tinuola Taylor (Director/ RHD) 
3. Dr Ovuoraye John (Director/ Head GASHE Division) 
4. Dr Oyeniyi Samuel. O (DD/Head Safe Motherhood & NMPCDSR Desk officer) 
5. Dr Amina Mohammed (DD/Head Coordinating Unit FHD) 
6. Dr Kamil Shoretire (DD/DHS) 
7. Mrs Madu Ezioma (AD/HPD) 
8. Dr Femi James (AD/ Head NBB) 
9. Dr Omokore Oluseyi Amos (AD/CSB) 
10. Mr Aliyu Agwai (AD/Head, NHMIS/DHPRS) 
11. Mr Adama Abdul (PNO/ND) 
12. Mr Robert M. Daniel (PNO/RHD) 
13. Durojaiye O. Micheal (PEO 1) 
14. Shettima Rufus (ACAO/FHD) 
15. Dr Adeyinka Odejimi (SMO 1) 
16. Dr Tejumade Adeyekun (MO/CSB) 
17. Dr Kennedy Abiahu (MO/CU) 
18. Dr Dachung Alexander (MO/RHD) 
19. Akanno Chiamaka Adaobi (SNO/ND) 
20. Ns Asabe Karagama (SNO/NBB) 
21. Mr Iyamu Edward (SSO/NBB) 
22. Mr Ayenowowon Olanrewaju (SSO/CSNB) 
23. Hadiza Umar Bugaje (SO-CU/FHD) 
24. Ms Vera Opara (SSO/DHPRS) 
25. Mr Oseji Kelvin Etuonu (ICT) 
26. Mr Dikko Ubaidullah (ICT) 
27. Mrs Ndubuisi Edith (SCO/CHD) 
28. Mrs Adekoya Victoria A. (NO-NB) 
29. Ns Adekunle Olufolakemi (Nursing Officer-CSNB) 
30. Ns Mamman Jepthe"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,5,Nigeria_MPCDSR_2022.pdf_5_2,English,"seji Kelvin Etuonu (ICT) 
26. Mr Dikko Ubaidullah (ICT) 
27. Mrs Ndubuisi Edith (SCO/CHD) 
28. Mrs Adekoya Victoria A. (NO-NB) 
29. Ns Adekunle Olufolakemi (Nursing Officer-CSNB) 
30. Ns Mamman Jepther Lere (Nursing Officer – HPD) 
31. Mrs Nwauzor N. Evelyn (Chief Clerical Officer - Coordinating Unit/FHD) 
32. Mr Amu Julius.I (HDPO/FHD) 
33. Mr Oba Justine (CEO/RHD) 
34. Mr Obakunle Joseph Kehinde (Office of Heads of Service, OHCSN) 
  
State Ministries of Health 
35. Onyire Nnamdi B. (Ebonyi MPCDSR) 
36. Maryam Abubakar Kaoje (Kebbi MPCDSR) 
37. Dr Mohammad Umar (Katsina MPCDSR) 
38. Dr Victoria Omoera (Lagos MPCDSR) 
39. Iliya Joseph (Kaduna MPCDSR) 
40. Dr Essien Itam E (C/River MoH) 
41. Dr Imosemi Oreose Don (Lagos MoH)"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,6,Nigeria_MPCDSR_2022.pdf_6_1,English,"42. Uyoe Emem Effiong (MRO, MPCDSR Akwa -Ibom) 
43. Prof Silas Ochejele (Benue MPCDSR) 
44. Olugbenga Oni (Ekiti SMoH) 
45. Binta Sabo Gambo (Borno SMoH) 
46. Prof Patrick Haruna Daru (Jos MPCDSR) 
47. Dr Magaji Aminu (Niger SMoH) 
48. Dr Olugbenga Bello (FCTA MPCDSR) 
 
Primary Health Care Agency 
49. Dr Nneka Onwu (NPHCDA) 
50. Dr Chris Elemuwa (NPHCDA) 
51. Dr Abdullahi Bulama Garba (NPHCDA) 
52. Mrs Ifeyinwa Onwudinjo (NPHCDA) 
53. Dr Ogbonnaya Igwe Omaha (NPHCDA) 
54. Dr Uzoamaka Epundu (NPHCDA) 
55. Dr Laila Umar (NPHCDA) 
56. Dr Adeola-Musa Oluwatoyin (NPHCDA) 
57. Dr Barka T. Mamman (NPHCDA) 
58. Dr. Lamorde Suleiman (NPHCDA) 
59. Mr Steve Felix Uduh (NPHCDA) 
60. Mrs Victoria Azodoh (NPHCDA) 
61. Dr Kabir M. Yakasai (NPHCDA) 
62. Mr Ahmedu Joshua (NPHCDA) 
63. Dr Abubakar Abba Tasle (R/State PHCMB) 
64. Ramatu Aliyu Ibrahim (Kano SPHCMB) 
65. Dr Amimu U. Sudawa (Kano SPHCMB) 
66. Dr Ruqayya M.T Wamakko (FCT PHCB) 
  
Professional Associations 
67. Prof Robinson Wammanda (Consultant Paediatrician, ABUTH/Chair, 
NCHTWG) 
68. Prof Ebun Adejuyigbe (Consultant Neonatologist, OAUTHC, Co-Chair, 
NCHTWG) 
69. Prof Mustapha Asani (PAN) 
70. Dr Adewale Ashimi (FMCEWTRE) 
71. Dr"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,6,Nigeria_MPCDSR_2022.pdf_6_2,English,"onsultant Paediatrician, ABUTH/Chair, 
NCHTWG) 
68. Prof Ebun Adejuyigbe (Consultant Neonatologist, OAUTHC, Co-Chair, 
NCHTWG) 
69. Prof Mustapha Asani (PAN) 
70. Dr Adewale Ashimi (FMCEWTRE) 
71. Dr Audu Lamidi (BDTH) 
72. Dr Olukemi Tongo (NISONM) 
73. Odeh A. Bunmi (NPC) 
74. Prof Mustapha Bello (UMTH) 
75. Fatoye Olusola (FMC, Keffi) 
76. Dr Pepple Douglas K.O (SOGON) 
77. Dr Moshood Salawu (SOGON) 
78. Prof Hadiza Galadanchi (AKTH) 
79. Prof Hadine Galadan (AKTH) 
80. Prof. Chinyere Ezeaka (LUTH, NISONM) 
81. Mr Duru John (FMWA) 
82. Zaharadeen Babandi (ABUTH)"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,7,Nigeria_MPCDSR_2022.pdf_7_1,English,"83. Dr Abubakar Jafiya (NCDC) 
84. Prof Jamilu Tukur (National Coordinator MPD4QED) 
85. Dr Akande Tajudeen Sanusi (RSTH, Dutse) 
86. Prof Clara Ejembi (ABUTH) 
87. Dr. Esther Envuladu (JUTH) 
88. Dr. Tolu Afolaranmi (JUTH) 
 
 
 
Development Partners 
89.  Dr Joy Ufere (WHO) 
90.  Dr Bosede Ezekwe (WHO) 
91.  Rose Ogunleye (WHO) 
92.  Dr Cheshi Fatima (UNICEF) 
93.  Ibilola Olayinka (UNICEF) 
94.  Dr Akinkunmi Akinbajo (UNFPA) 
95.  Dr Musa Elisha (UNFPA) 
96.  Dr Homsuk Swomen (USAID) 
97.  Dr Usman Gwarzo (Lafiya Project) 
98.  Dr Akin Oyemakinde (Lafiya Project) 
99.  Dr Moshood Salawu (E4A Mamaye) 
100. 
Dr Jaiyeola Oyetunji (IHP) 
101. 
Dr Chibugo Okoli (JHPIEGO MCGL) 
102. 
Dr Obinna Orjingene (JHPIEGO MCGL) 
103. 
Dr S.Kailani-Ahmadu (JHPIEGO MCGL) 
104. 
Elizabeth Chukwu (JHPIEGO MCGL) 
105. 
Dr Comfort E. Okpe (JHPIEGO MCGL) 
106. 
Folasade Amoko (JHPIEGO MCGL) 
107. 
Oris Ikiddeh (JHPIEGO MCGL) 
108. 
Femi Lawal (JHPIEGO MCGL) 
109. 
Oluwatoyin Adewole (JHPIEGO MCGL) 
110. 
Babasola Oluwafolakemi (Pan-Africare Nigeria) 
111. 
Okon – Essien Sandra (Pan-Africare Nigeria) 
112. 
Bimpe Akanno (SCI) 
113. 
Prof Emmanuel. Lufadeju (NC Rotary RMCH Project) 
114. 
Ms Mary Al"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,7,Nigeria_MPCDSR_2022.pdf_7_2,English,"0. 
Babasola Oluwafolakemi (Pan-Africare Nigeria) 
111. 
Okon – Essien Sandra (Pan-Africare Nigeria) 
112. 
Bimpe Akanno (SCI) 
113. 
Prof Emmanuel. Lufadeju (NC Rotary RMCH Project) 
114. 
Ms Mary Alaje (Rotary RMCH Project) 
115. 
Dr Bayo Jima (Rotary RMCH Project) 
116. 
Mrs Omolara Asonibare (Rotary RMCH Project) 
117. 
Ms Damilola Ateji (Rotary RMCH Project) 
118. 
Jumare Abdulazeez (EngenderHealth MSSFPO) 
119. 
Dr Bartholomew Odio (EngenderHealth MSSFPO) 
120. 
Bunmi Oyebanji Obot (Nigeria Health watch) 
121. 
Ify Babatunde-Yusuf (Nigeria Health watch)"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,8,Nigeria_MPCDSR_2022.pdf_8_1,English,"1. ACRONYMS AND ABBREVIATIONS 
ANC  
Antenatal Care 
APN  
Association of Pathologists of Nigeria 
APHPN 
Association of Public Health Physicians of Nigeria 
CBCA  
Criterion-Based Clinical Audits 
CBMPCDSR Community-Based Maternal, Perinatal and Child Death Surveillance and 
Response 
CDA  
Child Death Audit 
CEMD 
Confidential Enquiries on Maternal Death 
CHEW 
Community Health Extension Worker 
CHIPS 
Community Health Influencers, Promoters and Services 
CHO  
Community Health Officer 
CMD  
Chief Medical Director 
CR/VS 
Civil Registration / Vital Statistics 
CSO  
Civil Society Organization 
DSNO  
Disease Surveillance Notification Officer 
DPHC  
Department of Primary Health Care 
FBMPCDSR  Facility-Based Maternal, Perinatal and Child Death Surveillance and Response 
FCT  
Federal Capital Territory 
FIGO   
International Federation of Gynaecology and Obstetrics 
FMOH 
Federal Ministry of Health 
HOD  
Head of Department 
HMIS  
Health Management Information System 
ICD 
 
International Classification of Disease 
IDSR  
Integrated Disease Surveillance and Response 
JCHEW 
Junior Community Health Extension Worker 
LEMCHIC 
Local Government Emergency Maternal and Child Healt"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,8,Nigeria_MPCDSR_2022.pdf_8_2,English,"ernational Classification of Disease 
IDSR  
Integrated Disease Surveillance and Response 
JCHEW 
Junior Community Health Extension Worker 
LEMCHIC 
Local Government Emergency Maternal and Child Health Intervention Centre 
LGA  
Local Government Area/Authority 
LOGIC 
Leadership in Obstetrics & Gynaecology for Impact and Change 
MA 
 
Medical Audits 
M & E  
Monitoring and Evaluation 
MDG   
Millennium Development Goals 
MDR  
Maternal Death Review 
MDSR  
Maternal Death Surveillance and Response 
MNCH 
Maternal, Newborn and Child Health 
MMR   
Maternal Mortality Ratio 
MPDR 
Maternal and Perinatal   Death Review 
MPDSR 
Maternal and Perinatal Death Surveillance and Response 
MPCDR 
 
Maternal, Perinatal and Child Death Review 
MPCDSR 
Maternal, Perinatal and Child Death Surveillance and Response 
MPCM 
Maternal, Perinatal and Child Mortality 
MRO   
Medical Records Officer 
NCWS 
National Council of Women Societies 
NEMCHIC 
National Emergency Maternal and Child Health Intervention Centre 
NDHS  
National Demographic Health Survey 
NISONM 
Nigerian Society of Neonatal Medicine 
NGO  
Non-Governmental Organization 
NHIS   
National Health Insurance Scheme 
NoQA  
Nigerian Obstetri"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,8,Nigeria_MPCDSR_2022.pdf_8_3,English,"entre 
NDHS  
National Demographic Health Survey 
NISONM 
Nigerian Society of Neonatal Medicine 
NGO  
Non-Governmental Organization 
NHIS   
National Health Insurance Scheme 
NoQA  
Nigerian Obstetrics Quality Assurance"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,9,Nigeria_MPCDSR_2022.pdf_9_1,English,"NPC National Population Commission 
NPHCDA 
National Primary Health Care Development Agency 
NMCN 
Nursing and Midwifery Council of Nigeria 
OQA  
Obstetrics Quality Assurance 
P4R 
 
Performance for Result 
PAN  
Paediatric Association of Nigeria 
PHC  
Primary Health Care 
PHCC  
Primary Health Care Centre 
PDR  
Perinatal Death Review 
PDSR   
Perinatal Death Surveillance Response 
PMR  
Perinatal Mortality Rate 
PNA  
Paediatric Nurses Association 
QED  
Quality, Equity and Dignity 
QoC  
Quality of Care 
RH 
 
Reproductive Health 
R-RMCH 
Rotary-Reproductive Maternal and Child Health 
SA  
 
Social Autopsy 
SDG  
Sustainable Development Goals 
SEMCHIC 
State Emergency Maternal and Child Health Intervention Centre 
SMOH 
State Ministry of Health 
SOGON 
Society of Gynaecology and Obstetrics of Nigeria 
SPHCDA 
State Primary Health Care Development Agency 
TBA  
Traditional Birth Attendant 
TFR  
Total Fertility Rate 
UN 
 
United Nations 
VA 
 
Verbal Autopsy 
VVF  
Vesico-Vaginal Fistula 
WHO   
World Health Organization 
WRA   
Women of Reproductive Age"
Nigeria_MPCDSR_2022.pdf,"Federal Ministry of Health, Nigeria",2022,9,Nigeria_MPCDSR_2022.pdf_9_2,English,"nal Fistula 
WHO   
World Health Organization 
WRA   
Women of Reproductive Age"
